key,distrito_nombre,pct_LLA_sep,pct_FP_sep,votos_LLA_sep,votos_FP_sep,pct_LLA_oct,pct_FP_oct,votos_LLA_oct,votos_FP_oct,volatilidad_LLA,volatilidad_FP,volatilidad_abs,pct_sin_cobertura,edad_mediana,pct_viviendas_ocupadas
adolfo alsina,Adolfo Alsina,40.87,31.96,3229.0,2525.0,55.12,28.38,4617.0,2377.0,14.25,-3.58,14.25,27.49,38,80.81
alberti,Alberti,27.41,49.81,1733.0,3149.0,48.13,37.84,3198.0,2514.0,20.72,-11.97,20.72,23.0,37,82.79
almirante brown,Almirante Brown,28.52,54.1,83547.0,158468.0,33.66,49.14,103415.0,150981.0,5.14,-4.96,5.14,39.19,32,96.06
avellaneda,Avellaneda,27.68,61.82,53160.0,118745.0,36.06,47.33,72497.0,95148.0,8.38,-14.49,8.38,28.07,36,91.76
ayacucho,Ayacucho,27.62,39.89,2842.0,4105.0,42.06,39.24,4593.0,4285.0,14.44,-0.65,14.44,27.19,34,83.76
azul,Azul,35.95,35.61,12140.0,12023.0,48.69,33.02,17735.0,12026.0,12.74,-2.59,12.74,28.74,35,88.79
bahia blanca,Bahia Blanca,46.69,30.51,70926.0,46354.0,54.09,26.34,88107.0,42912.0,7.4,-4.17,7.4,27.16,35,87.82
balcarce,Balcarce,37.22,21.94,8909.0,5252.0,56.86,25.18,14760.0,6535.0,19.64,3.24,19.64,26.51,36,87.55
baradero,Baradero,23.21,39.52,3322.0,5655.0,41.11,42.52,8515.0,8806.0,17.9,3.0,17.9,22.87,33,88.25
arrecifes,Arrecifes,33.13,45.4,5121.0,7017.0,47.5,36.97,8392.0,6531.0,14.37,-8.43,14.37,36.75,33,90.22
berazategui,Berazategui,27.2,60.68,50266.0,112112.0,36.47,46.08,71345.0,90144.0,9.27,-14.6,9.27,36.05,32,94.5
berisso,Berisso,30.11,46.37,16709.0,25732.0,37.57,44.77,21538.0,25666.0,7.46,-1.6,7.46,32.14,32,93.81
bolivar,Bolivar,31.62,43.3,5321.0,7285.0,51.69,33.1,10329.0,6614.0,20.07,-10.2,20.07,29.77,36,83.55
bragado,Bragado,38.73,42.2,8728.0,9509.0,48.67,34.76,11636.0,8310.0,9.94,-7.44,9.94,27.16,37,86.84
brandsen,Brandsen,31.09,41.35,5136.0,6831.0,46.59,37.28,8365.0,6694.0,15.5,-4.07,15.5,30.26,32,76.96
campana,Campana,41.02,41.38,22496.0,22693.0,45.79,36.27,26566.0,21043.0,4.77,-5.11,4.77,29.75,32,89.03
canuelas,Cañuelas,30.9,43.76,10763.0,15240.0,43.2,38.8,14681.0,13184.0,12.3,-4.96,12.3,38.46,30,84.48
capitan sarmiento,Capitán Sarmiento,44.27,38.33,3741.0,3239.0,51.58,34.37,4722.0,3147.0,7.31,-3.96,7.31,25.75,34,89.86
carlos casares,Carlos Casares,34.35,45.08,3525.0,4627.0,53.51,32.81,6683.0,4098.0,19.16,-12.27,19.16,30.74,35,81.26
carlos tejedor,Carlos Tejedor,22.52,57.04,1573.0,3984.0,39.91,47.79,2788.0,3338.0,17.39,-9.25,17.39,27.47,36,91.55
carmen de areco,Carmen de Areco,39.34,38.54,3569.0,3496.0,52.76,33.45,4790.0,3037.0,13.42,-5.09,13.42,30.47,33,83.71
patagones,Patagones,34.69,40.37,5035.0,5859.0,48.05,37.18,8323.0,6440.0,13.36,-3.19,13.36,37.81,34,80.48
castelli,Castelli,23.92,51.19,1331.0,2849.0,44.13,44.42,2393.0,2409.0,20.21,-6.77,20.21,22.56,34,88.3
colon,Colón,27.41,39.19,3254.0,4652.0,41.53,42.7,6149.0,6323.0,14.12,3.51,14.12,33.0,34,91.1
