seccion_nombre,agrupacion_nombre,votos_cantidad
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,59
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,103
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,116
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,53
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,131
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,66
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,117
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,60
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,74
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,86
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,110
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,73
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,82
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,77
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,103
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,68
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,48
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,123
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,119
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,51
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,93
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,91
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,76
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,111
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,130
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,60
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,92
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,102
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,110
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,53
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,106
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,75
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,109
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,62
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,114
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,54
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,126
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,61
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,110
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,66
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,100
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,81
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,132
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,57
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,100
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,64
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,116
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,69
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,92
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,67
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,54
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,121
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,120
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,69
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,31
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,16
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,0
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,4
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,110
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,59
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,116
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,43
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,136
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,52
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,120
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,52
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,108
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,60
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,0
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,0
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,129
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,49
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,118
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,45
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,86
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,40
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,6
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,2
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,135
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,33
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,24
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,147
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,29
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,151
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,28
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,8
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,32
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,17
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,127
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,34
ADOLFO ALSINA,ALIANZA LA LIBERTAD AVANZA,63
ADOLFO ALSINA,ALIANZA FUERZA PATRIA,22
ALBERTI,ALIANZA LA LIBERTAD AVANZA,109
ALBERTI,ALIANZA FUERZA PATRIA,78
ALBERTI,ALIANZA FUERZA PATRIA,68
ALBERTI,ALIANZA LA LIBERTAD AVANZA,114
ALBERTI,ALIANZA LA LIBERTAD AVANZA,104
ALBERTI,ALIANZA FUERZA PATRIA,75
ALBERTI,ALIANZA LA LIBERTAD AVANZA,123
ALBERTI,ALIANZA FUERZA PATRIA,85
ALBERTI,ALIANZA LA LIBERTAD AVANZA,107
ALBERTI,ALIANZA FUERZA PATRIA,91
ALBERTI,ALIANZA LA LIBERTAD AVANZA,101
ALBERTI,ALIANZA FUERZA PATRIA,99
ALBERTI,ALIANZA LA LIBERTAD AVANZA,121
ALBERTI,ALIANZA FUERZA PATRIA,96
ALBERTI,ALIANZA LA LIBERTAD AVANZA,133
ALBERTI,ALIANZA FUERZA PATRIA,79
ALBERTI,ALIANZA LA LIBERTAD AVANZA,105
ALBERTI,ALIANZA FUERZA PATRIA,85
ALBERTI,ALIANZA LA LIBERTAD AVANZA,123
ALBERTI,ALIANZA FUERZA PATRIA,78
ALBERTI,ALIANZA FUERZA PATRIA,84
ALBERTI,ALIANZA LA LIBERTAD AVANZA,131
ALBERTI,ALIANZA FUERZA PATRIA,80
ALBERTI,ALIANZA LA LIBERTAD AVANZA,113
ALBERTI,ALIANZA FUERZA PATRIA,100
ALBERTI,ALIANZA LA LIBERTAD AVANZA,114
ALBERTI,ALIANZA LA LIBERTAD AVANZA,136
ALBERTI,ALIANZA FUERZA PATRIA,67
ALBERTI,ALIANZA LA LIBERTAD AVANZA,110
ALBERTI,ALIANZA FUERZA PATRIA,100
ALBERTI,ALIANZA LA LIBERTAD AVANZA,128
ALBERTI,ALIANZA FUERZA PATRIA,69
ALBERTI,ALIANZA FUERZA PATRIA,118
ALBERTI,ALIANZA LA LIBERTAD AVANZA,94
ALBERTI,ALIANZA FUERZA PATRIA,102
ALBERTI,ALIANZA LA LIBERTAD AVANZA,110
ALBERTI,ALIANZA FUERZA PATRIA,86
ALBERTI,ALIANZA LA LIBERTAD AVANZA,110
ALBERTI,ALIANZA LA LIBERTAD AVANZA,105
ALBERTI,ALIANZA FUERZA PATRIA,77
ALBERTI,ALIANZA FUERZA PATRIA,82
ALBERTI,ALIANZA LA LIBERTAD AVANZA,128
ALBERTI,ALIANZA LA LIBERTAD AVANZA,129
ALBERTI,ALIANZA FUERZA PATRIA,70
ALBERTI,ALIANZA LA LIBERTAD AVANZA,113
ALBERTI,ALIANZA FUERZA PATRIA,63
ALBERTI,ALIANZA FUERZA PATRIA,174
ALBERTI,ALIANZA LA LIBERTAD AVANZA,63
ALBERTI,ALIANZA FUERZA PATRIA,108
ALBERTI,ALIANZA LA LIBERTAD AVANZA,45
ALBERTI,ALIANZA FUERZA PATRIA,75
ALBERTI,ALIANZA LA LIBERTAD AVANZA,70
ALBERTI,ALIANZA LA LIBERTAD AVANZA,88
ALBERTI,ALIANZA FUERZA PATRIA,29
ALBERTI,ALIANZA LA LIBERTAD AVANZA,146
ALBERTI,ALIANZA FUERZA PATRIA,65
ALBERTI,ALIANZA FUERZA PATRIA,64
ALBERTI,ALIANZA FUERZA PATRIA,67
ALBERTI,ALIANZA LA LIBERTAD AVANZA,24
ALBERTI,ALIANZA LA LIBERTAD AVANZA,101
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,127
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,81
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,139
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,78
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,111
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,91
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,64
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,133
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,145
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,64
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,131
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,64
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,117
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,87
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,65
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,150
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,133
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,73
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,147
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,69
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,137
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,74
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,142
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,72
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,143
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,83
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,138
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,55
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,133
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,74
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,133
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,66
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,135
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,60
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,137
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,87
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,127
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,62
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,149
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,59
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,149
ALMIRANTE BROWN,ALIANZA FUERZA PATRIA,66
ALMIRANTE BROWN,ALIANZA LA LIBERTAD AVANZA,114
