key,distrito_nombre,pct_LLA_sep,pct_FP_sep,pct_LLA_oct,pct_FP_oct,volatilidad_LLA,volatilidad_FP,volatilidad_abs,pct_sin_cobertura,edad_mediana,pct_viviendas_ocupadas
adolfo alsina,Adolfo Alsina,40.87,31.96,55.12,28.38,14.25,-3.58,14.25,27.49,38,80.81
alberti,Alberti,27.41,49.81,48.13,37.84,20.72,-11.97,20.72,23.0,37,82.79
almirante brown,Almirante Brown,28.52,54.1,33.66,49.14,5.14,-4.96,5.14,39.19,32,96.06
avellaneda,Avellaneda,27.68,61.82,36.06,47.33,8.38,-14.49,8.38,28.07,36,91.76
ayacucho,Ayacucho,27.62,39.89,42.06,39.24,14.44,-0.65,14.44,27.19,34,83.76
azul,Azul,35.95,35.61,48.69,33.02,12.74,-2.59,12.74,28.74,35,88.79
bahia blanca,Bahia Blanca,46.69,30.51,54.09,26.34,7.4,-4.17,7.4,27.16,35,87.82
balcarce,Balcarce,37.22,21.94,56.86,25.18,19.64,3.24,19.64,26.51,36,87.55
baradero,Baradero,23.21,39.52,41.11,42.52,17.9,3.0,17.9,22.87,33,88.25
arrecifes,Arrecifes,33.13,45.4,47.5,36.97,14.37,-8.43,14.37,36.75,33,90.22
berazategui,Berazategui,27.2,60.68,36.47,46.08,9.27,-14.6,9.27,36.05,32,94.5
berisso,Berisso,30.11,46.37,37.57,44.77,7.46,-1.6,7.46,32.14,32,93.81
bolivar,Bolivar,31.62,43.3,51.69,33.1,20.07,-10.2,20.07,29.77,36,83.55
bragado,Bragado,38.73,42.2,48.67,34.76,9.94,-7.44,9.94,27.16,37,86.84
brandsen,Brandsen,31.09,41.35,46.59,37.28,15.5,-4.07,15.5,30.26,32,76.96
campana,Campana,41.02,41.38,45.79,36.27,4.77,-5.11,4.77,29.75,32,89.03
canuelas,Cañuelas,30.9,43.76,43.2,38.8,12.3,-4.96,12.3,38.46,30,84.48
capitan sarmiento,Capitán Sarmiento,44.27,38.33,51.58,34.37,7.31,-3.96,7.31,25.75,34,89.86
carlos casares,Carlos Casares,34.35,45.08,53.51,32.81,19.16,-12.27,19.16,30.74,35,81.26
carlos tejedor,Carlos Tejedor,22.52,57.04,39.91,47.79,17.39,-9.25,17.39,27.47,36,91.55
carmen de areco,Carmen de Areco,39.34,38.54,52.76,33.45,13.42,-5.09,13.42,30.47,33,83.71
patagones,Patagones,34.69,40.37,48.05,37.18,13.36,-3.19,13.36,37.81,34,80.48
castelli,Castelli,23.92,51.19,44.13,44.42,20.21,-6.77,20.21,22.56,34,88.3
colon,Colón,27.41,39.19,41.53,42.7,14.12,3.51,14.12,33.0,34,91.1
coronel dorrego,Coronel Dorrego,36.94,29.22,54.62,28.88,17.68,-0.34,17.68,32.4,38,74.87
coronel pringles,Coronel Pringles,47.23,28.59,55.72,26.08,8.49,-2.51,8.49,34.12,36,82.76
coronel rosales,Coronel de Marina Leonardo Rosales,48.47,23.64,61.63,20.67,13.16,-2.97,13.16,21.6,34,83.88
coronel suarez,Coronel Suárez,45.76,29.19,52.55,28.41,6.79,-0.78,6.79,27.5,37,85.24
chacabuco,Chacabuco,24.53,49.24,43.81,42.44,19.28,-6.8,19.28,31.66,36,83.41
chascomus,Chascomús,29.67,32.59,50.04,31.34,20.37,-1.25,20.37,30.55,34,84.25
chivilcoy,Chivilcoy,30.13,41.88,41.57,32.59,11.44,-9.29,11.44,32.86,36,87.51
daireaux,Daireaux,30.95,46.24,50.76,37.37,19.81,-8.87,19.81,23.91,35,87.71
dolores,Dolores,23.3,54.84,49.9,38.37,26.6,-16.47,26.6,22.18,34,85.17
ensenada,Ensenada,24.07,66.01,32.03,52.85,7.96,-13.16,7.96,33.11,32,90.86
escobar,Escobar,35.41,50.24,43.98,40.36,8.57,-9.88,8.57,35.69,31,90.02
esteban echeverria,Esteban Echeverría,30.07,49.54,36.11,27.77,6.04,-21.77,6.04,41.46,31,93.29
exaltacion de la cruz,Exaltación de la Cruz,35.8,43.11,50.31,33.3,14.51,-9.81,14.51,34.51,32,76.78
florencio varela,Florencio Varela,23.94,55.76,30.79,51.58,6.85,-4.18,6.85,48.35,29,96.34
general alvarado,General Alvarado,36.29,34.78,48.77,34.3,12.48,-0.48,12.48,36.63,35,57.36
general alvear,General Alvear,24.67,36.05,47.93,34.34,23.26,-1.71,23.26,23.37,34,85.47
general arenales,General Arenales,28.61,34.98,53.72,32.08,25.11,-2.9,25.11,26.3,37,85.29
general belgrano,General Belgrano,28.57,40.07,51.07,34.72,22.5,-5.35,22.5,31.5,35,81.6
general guido,General Guido,18.34,48.29,40.98,45.69,22.64,-2.6,22.64,18.5,36,77.94
general la madrid,General La Madrid,27.9,36.66,51.41,34.31,23.51,-2.35,23.51,25.85,36,86.56
general las heras,General Las Heras,28.66,36.52,41.04,43.97,12.38,7.45,12.38,28.02,32,89.55
general lavalle,General Lavalle,19.29,33.51,51.13,34.18,31.84,0.67,31.84,33.8,32,86.66
general juan madariaga,General Juan Madariaga,26.74,28.95,51.24,31.68,24.5,2.73,24.5,40.38,33,89.03
general paz,General Paz,36.68,58.3,42.67,47.02,5.99,-11.28,5.99,34.5,33,77.72
general pinto,General Pinto,22.68,56.19,41.89,48.36,19.21,-7.83,19.21,32.76,34,84.64
general pueyrredon,General Pueyrredón,52.13,36.83,49.31,30.99,-2.82,-5.84,2.82,26.26,37,74.79
general rodriguez,General Rodríguez,39.78,46.06,40.15,44.52,0.37,-1.54,0.37,49.23,28,89.15
general san martin,General San Martín,37.03,52.91,40.88,42.45,3.85,-10.46,3.85,31.47,35,91.73
san miguel,San Miguel,38.27,48.23,43.63,38.63,5.36,-9.6,5.36,35.69,32,94.56
general viamonte,General Viamonte,20.83,45.34,44.93,41.92,24.1,-3.42,24.1,33.27,35,90.02
general villegas,General Villegas,38.19,22.41,56.82,27.8,18.63,5.39,18.63,34.21,34,87.16
adolfo gonzales chaves,Adolfo Gonzales Chaves,37.31,55.76,42.68,38.0,5.37,-17.76,5.37,30.98,35,85.34
guamini,Guaminí,31.08,44.24,50.03,38.56,18.95,-5.68,18.95,22.4,37,80.97
hipolito yrigoyen,Hipólito Yrigoyen,42.05,43.62,51.91,36.22,9.86,-7.4,9.86,16.09,36,85.66
benito juarez,Benito Juárez,31.79,52.92,42.36,44.54,10.57,-8.38,10.57,27.89,36,85.31
junin,Junín,24.07,35.25,48.07,34.83,24.0,-0.42,24.0,24.12,36,88.63
la matanza,La Matanza,28.96,53.18,32.52,48.45,3.56,-4.73,3.56,46.07,31,93.8
lanus,Lanús,32.16,49.5,36.88,45.08,4.72,-4.42,4.72,28.09,37,91.47
la plata,La Plata,37.25,43.51,44.15,38.89,6.9,-4.62,6.9,27.72,33,88.96
